source_year,trip_distance,total_amount
2017,2.5,13.3
2017,3.0,12.3
2017,16.1,63.35
2017,1.5,8.8
2017,4.8,22.45
2017,9.7,34.3
2017,4.2,20.0
2017,7.3,24.3
2017,4.2,21.0
2017,4.2,18.8
2017,7.4,25.8
2017,8.0,31.55
2017,0.4,5.8
2017,0.8,8.8
2017,1.2,9.35
2017,17.4,70.26
2017,3.0,17.3
2017,1.86,12.25
2017,1.57,10.3
2017,2.2,12.35
2017,0.5,8.15
2017,1.5,8.8
2017,5.4,24.75
2017,19.87,60.8
2017,1.1,8.5
2017,2.0,12.95
2017,17.5,58.56
2017,17.2,60.8
2017,1.4,10.56
2017,17.1,56.8
2017,0.75,5.8
2017,11.3,37.8
2017,18.6,63.35
2017,0.87,7.3
2017,0.96,6.8
2017,3.4,17.88
2017,4.01,22.25
2017,2.5,12.3
2017,1.6,12.7
2017,1.1,7.3
2017,5.1,26.0
2017,4.98,21.96
2017,1.39,9.8
2017,17.0,70.26
2017,11.5,38.3
2017,10.18,45.67
2017,1.29,7.3
2017,4.1,21.95
2017,3.6,18.95
2017,3.7,18.95
2017,3.2,14.15
2017,8.4,32.15
2017,2.32,12.74
2017,1.0,8.84
2017,1.71,8.8
2017,1.8,10.3
2017,1.2,7.8
2017,11.91,36.8
2017,1.29,10.38
2017,6.81,35.3
2017,2.7,12.8
2017,1.7,8.8
2017,0.62,6.96
2017,6.6,28.55
2017,5.1,24.07
2017,0.9,7.55
2017,4.9,21.35
2017,5.6,21.35
2017,0.89,8.16
2017,21.6,87.58
2017,0.9,7.55
2017,1.3,10.8
2017,3.9,18.35
2017,1.5,8.3
2017,4.8,21.35
2017,1.66,10.8
2017,23.87,79.75
2017,4.4,18.8
2017,2.4,14.15
2017,0.8,8.15
2017,2.9,16.56
2017,0.44,4.8
2017,1.61,10.56
2017,0.45,5.76
2017,0.84,6.96
2017,1.38,10.56
2017,2.29,12.96
2017,0.77,7.3
2017,14.28,59.76
2017,5.7,23.75
2017,3.9,14.8
2017,2.06,9.8
2017,7.83,30.8
2017,5.4,23.75
2017,2.4,11.8
2017,1.4,7.8
2017,5.7,22.55
2017,4.62,16.8
2017,2.95,16.56
2017,3.16,15.3
2017,3.7,18.59
2017,1.0,9.35
2017,1.1,8.75
2017,2.2,11.3
2017,0.9,8.15
2017,0.4,4.8
2017,3.1,15.35
2017,3.5,20.75
2017,0.59,6.36
2017,19.74,54.3
2017,6.5,23.3
2017,4.1,17.8
2017,1.5,9.36
2017,0.4,5.75
2017,2.3,13.57
2017,1.7,11.15
2017,6.2,25.8
2017,0.6,5.3
2017,2.1,10.3
2017,0.39,4.8
2017,3.74,15.8
2017,2.5,13.55
2017,1.7,10.5
2017,3.1,12.8
2017,1.0,8.16
2017,1.97,12.25
2017,4.0,24.8
2017,0.9,7.3
2017,1.4,7.8
2017,18.72,63.36
2017,19.8,58.56
2017,3.98,26.47
2017,2.56,12.3
2017,3.15,13.3
