source_year,passenger_count,distance_bucket,total_rides,avg_fare
2019,2,2-5 miles,279448,20.1672089700431
2019,2,20+ miles,9709,80.29779290249277
2019,2,5-10 miles,85721,34.05963158974827
2019,3,<1 mile,61449,10.478214547668811
2019,3,1-2 miles,92462,13.877197153409403
2019,3,10-20 miles,15980,60.14997287355317
2019,3,2-5 miles,75989,20.116664268659903
2019,3,20+ miles,2322,81.93575286210661
2019,3,5-10 miles,22932,33.64512511882486
2019,4,<1 mile,26690,10.648517137823948
2019,4,1-2 miles,41067,13.800343625108688
2019,4,10-20 miles,7237,59.717911217766805
2019,4,2-5 miles,35505,20.08457035890953
2019,4,20+ miles,1111,84.83075531273678
2019,4,5-10 miles,10700,33.55884249887177
2019,5,<1 mile,59202,10.359277982259094
2019,5,1-2 miles,85074,13.89563583480787
2019,5,10-20 miles,14506,59.85444009205432
2019,5,2-5 miles,69988,20.072325447732982
2019,5,20+ miles,1992,78.4913696840585
2019,5,5-10 miles,22349,33.68941072124918
2019,6,<1 mile,37013,10.294137013400412
2019,6,1-2 miles,52279,13.916201570481459
2019,6,10-20 miles,9164,60.026113306478294
2019,6,2-5 miles,41499,20.162931639681826
2019,6,20+ miles,1192,78.19538509125678
2019,6,5-10 miles,12832,34.087931292819
2019,7,<1 mile,3,57.52000077565511
2019,7,1-2 miles,3,20.420000394185383
2019,7,10-20 miles,7,75.86000126600266
2019,7,2-5 miles,2,73.31000137329102
2019,7,20+ miles,1,101.30000305175781
2019,8,<1 mile,3,45.419999758402504
2019,8,10-20 miles,7,96.48285675048828
2019,8,20+ miles,1,99.41999816894531
2019,9,<1 mile,2,107.88000106811523
2019,9,1-2 miles,2,13.549999713897705
2019,9,10-20 miles,8,102.69749975204468
2019,9,20+ miles,2,115.7300033569336
2019,9,5-10 miles,1,118.55999755859375
2020,0,<1 mile,12324,12.566299141154627
2020,0,1-2 miles,22694,15.18332646003828
2020,0,10-20 miles,19720,49.830651102491615
2020,0,2-5 miles,34008,21.92054454914102
2020,0,20+ miles,2939,67.65050338863232
2020,0,5-10 miles,24776,33.7179730565347
2020,1,<1 mile,214543,9.523799478570153
2020,1,1-2 miles,326357,12.741315014151784
2020,1,10-20 miles,25762,52.395833066925576
2020,1,2-5 miles,282485,18.498318271739972
2020,1,20+ miles,3785,85.46322286453399
2020,1,5-10 miles,66467,30.696207581147664
2020,2,<1 mile,37516,9.605631826730448
2020,2,1-2 miles,59105,12.763942210777753
2020,2,10-20 miles,5485,53.736371140460484
2020,2,2-5 miles,51584,18.554206546138342
2020,2,20+ miles,865,81.205606253092
2020,2,5-10 miles,12405,30.744234913815802
2020,3,<1 mile,9784,9.576932838830857
2020,3,1-2 miles,15335,12.760560882911644
2020,3,10-20 miles,1232,52.88849762817482
2020,3,2-5 miles,13517,18.457605050232246
2020,3,20+ miles,177,83.93531007584879
2020,3,5-10 miles,3136,30.396673628566216
2020,4,<1 mile,3539,9.636422815448181
2020,4,1-2 miles,5552,12.787355975304282
2020,4,10-20 miles,584,51.605958210278864
2020,4,2-5 miles,4864,18.416471852675866
2020,4,20+ miles,72,84.593610657586
2020,4,5-10 miles,1321,30.689363610284243
2020,5,<1 mile,7933,9.458077745195387
2020,5,1-2 miles,12236,12.816141786198088
2020,5,10-20 miles,947,52.36875324994483
2020,5,2-5 miles,10757,18.594472259308
2020,5,20+ miles,116,82.13189575589936
2020,5,5-10 miles,2578,30.986178745124764
2020,6,<1 mile,4889,9.464493856471018
2020,6,1-2 miles,7683,12.764075300958215
2020,6,10-20 miles,641,54.71316616397566
2020,6,2-5 miles,6767,18.57361294350526
2020,6,20+ miles,85,78.09411701875574
2020,6,5-10 miles,1554,30.872148828003244
2020,7,1-2 miles,1,10.300000190734863
2020,7,10-20 miles,1,55.29999923706055
2020,9,<1 mile,1,14.15999984741211
2020,9,10-20 miles,1,99.80000305175781
2021,0,<1 mile,21746,13.395992875318457
2021,0,1-2 miles,44726,16.206386211804592
2021,0,10-20 miles,27574,58.06239857157968
2021,0,2-5 miles,70400,22.65503699140962
2021,0,20+ miles,3645,72.9979422723969
2021,0,5-10 miles,36398,36.72062909714638
2021,1,<1 mile,389944,10.219107219632688
2021,1,1-2 miles,684270,13.570056001110911
2021,1,10-20 miles,111525,58.63576972457626
2021,1,2-5 miles,638339,20.912521908529815
2021,1,20+ miles,17907,81.96735479028912
2021,1,5-10 miles,171864,33.40154382164789
2021,2,<1 mile,76129,10.414123357753178
2021,2,1-2 miles,139464,13.56119583776193
2021,2,10-20 miles,32396,60.92633497312431
2021,2,2-5 miles,135168,19.749265585985444
2021,2,20+ miles,5331,79.4686476092606
2021,2,5-10 miles,37482,33.70068897268515
2021,3,<1 mile,19014,10.355175749428254
2021,3,1-2 miles,36857,13.573572231509246
2021,3,10-20 miles,7079,59.60077087500958
2021,3,2-5 miles,35581,19.654651418932605
2021,3,20+ miles,1102,82.37203286304232
2021,3,5-10 miles,9520,33.243372455665046
2021,4,<1 mile,7502,10.580293348394244
2021,4,1-2 miles,14695,13.44878331241903
2021,4,10-20 miles,3029,59.60034951789027
2021,4,2-5 miles,14170,19.47624465858928
