distance_bucket,total_rides,total_revenue,avg_fare
<1 mile,8717885,128729579.86440766,14.766147966439986
1-2 miles,13130424,250550094.12058285,19.081645354375674
2-5 miles,11118146,304579148.04689246,27.394778594101254
5-10 miles,3594122,171268818.95152435,47.65247783784867
10-20 miles,2860668,235361462.9944565,82.27500115163889
20+ miles,411588,47541145.16654205,115.50663568068568
