passenger_count,total_rides,avg_fare
0,4492586,24.686942785846856
1,28632703,27.421565256296017
2,5410774,31.197771024420334
3,1282073,30.66522565034571
4,814889,32.86875703081205
5,320613,28.20867478455274
6,215798,27.04058291419792
7,56,68.8553574447121
8,192,90.88848954066634
9,36,87.90805596775479
