trip_distance,total_amount
1.4,15.1
4.4,31.08
1.67,17.64
8.92,66.99
15.83,87.69
27.31,158.15
9.01,52.63
9.54,56.47
16.0,107.94
4.4,38.29
16.5,87.69
3.35,29.45
9.25,64.8
2.93,25.2
8.7,60.82
6.06,42.0
7.99,56.76
10.77,62.63
5.02,23.75
10.26,71.03
8.52,52.12
2.42,19.32
5.24,27.3
8.11,54.39
1.61,15.12
8.56,39.35
2.4,18.2
0.52,8.4
1.06,13.2
1.02,12.6
0.62,11.8
18.97,90.03
1.2,13.6
2.5,18.8
1.4,15.69
9.8,57.95
18.82,95.88
1.43,15.96
0.84,13.4
2.7,21.84
1.29,13.3
1.33,15.96
1.04,14.28
4.24,32.37
5.69,31.51
5.94,28.65
1.36,16.8
1.2,14.3
10.7,60.59
9.84,48.31
7.62,56.42
10.03,51.67
1.03,15.12
19.7,99.19
1.59,14.0
10.3,64.87
2.61,22.68
12.78,76.69
14.38,63.75
7.34,46.19
1.14,14.88
1.22,17.5
2.04,17.16
2.36,21.84
19.54,90.55
18.03,86.94
8.75,57.19
2.42,21.84
17.24,97.13
2.7,18.9
6.75,43.39
1.58,16.8
11.08,71.45
16.21,81.0
1.29,15.96
3.24,24.36
1.3,14.0
1.3,13.3
3.3,22.4
9.04,51.79
0.04,7.0
10.3,69.84
18.4,92.69
0.91,14.28
6.33,33.6
5.31,38.64
18.36,75.65
16.65,74.85
7.17,32.15
16.9,94.25
4.27,27.9
5.24,42.0
0.85,13.44
1.28,16.38
1.4,17.1
1.31,13.3
4.46,30.24
22.88,75.75
5.93,46.68
0.89,11.9
3.62,29.4
2.4,17.4
1.48,12.6
12.82,63.0
22.59,112.75
1.62,16.1
16.32,118.02
1.29,15.96
6.28,42.3
12.3,50.94
15.76,85.49
0.7,11.2
6.8,36.4
2.2,18.5
13.18,60.95
17.3,83.15
5.0,31.05
2.5,26.25
2.15,15.7
0.8,12.2
1.4,16.52
5.1,26.6
0.8,14.4
0.8,11.8
1.5,15.1
1.1,11.2
1.9,20.15
6.4,31.5
0.6,11.8
1.44,20.16
2.57,22.68
4.3,30.6
13.9,71.45
0.66,11.27
1.97,18.48
3.14,24.36
1.01,14.88
6.72,40.32
1.1,15.95
16.7,101.14
1.09,13.44
1.84,16.1
7.1,44.65
1.3,14.0
1.16,12.6
2.05,20.16
2.3,18.5
1.3,15.96
11.3,62.2
1.51,16.8
1.36,12.6
1.6,14.7
1.2,16.8
1.8,15.4
1.7,18.48
1.05,12.6
3.05,22.4
3.32,20.3
0.7,11.2
1.13,16.62
13.44,67.63
3.67,26.3
0.96,11.2
7.8,55.99
0.8,12.7
2.2,18.2
2.83,27.3
6.55,32.2
1.85,19.32
1.44,21.2
5.65,35.28
6.6,32.9
0.9,10.0
1.9,12.9
3.8,19.2
1.2,13.44
2.28,21.0
0.81,12.6
2.0,14.3
1.7,13.6
10.74,64.38
1.4,12.6
1.03,14.7
1.43,15.4
7.2,52.89
0.7,13.15
2.5,16.8
1.9,18.5
5.21,36.96
0.68,12.6
2.2,19.25
1.1,12.6
1.58,16.0
0.66,9.1
1.09,16.8
1.72,21.84
1.68,20.16
1.08,13.44
0.82,9.8
0.51,11.76
4.67,30.1
0.49,9.1
1.03,12.6
13.69,59.55
11.1,67.74
2.05,16.8
6.2,30.05
17.5,71.75
9.4,46.84
2.5,22.74
1.42,17.64
1.2,16.38
1.08,13.44
1.72,18.48
1.06,16.38
1.21,13.3
0.88,13.44
0.69,10.1
1.89,15.4
2.38,19.6
0.75,10.5
2.78,18.9
0.59,11.9
0.93,16.6
7.01,36.4
0.8,14.25
1.6,17.4
1.4,15.1
3.17,21.0
1.87,17.48
2.82,19.88
0.89,10.5
0.47,10.92
1.1,18.48
18.73,86.75
1.76,19.6
1.86,16.8
1.48,18.48
1.78,18.52
8.03,56.49
0.74,13.2
19.33,106.05
2.5,18.2
5.1,32.75
1.2,15.7
0.5,9.8
12.03,71.0
1.88,20.16
3.99,24.5
3.96,23.1
0.02,6.25
19.2,99.23
2.5,19.6
3.4,23.1
1.03,12.2
1.4,14.0
9.59,67.67
2.39,21.1
2.5,22.65
2.9,19.6
5.45,29.3
2.3,23.66
8.43,50.09
3.14,24.5
25.1,90.69
1.69,17.64
1.1,14.56
1.35,15.3
3.31,21.7
0.4,10.08
5.7,39.48
0.9,14.55
1.4,17.6
3.2,19.6
1.7,13.3
1.64,16.8
2.0,14.7
4.8,30.8
9.4,53.85
1.3,16.35
0.5,10.5
1.9,18.8
1.5,17.64
0.88,8.76
0.85,13.44
8.51,54.53
3.59,26.88
1.98,17.1
1.28,15.12
1.3,13.3
2.0,19.4
2.5,27.5
1.3,15.95
3.4,26.18
1.8,19.1
1.18,12.6
0.92,10.5
1.87,15.96
1.24,14.28
10.25,68.78
10.0,55.15
2.5,21.0
3.2,26.0
1.2,15.75
0.4,9.1
4.77,35.28
2.46,20.16
10.25,71.03
2.49,19.32
9.21,64.8
1.55,14.0
4.01,29.4
0.29,9.2
1.82,18.48
0.84,10.5
2.06,21.0
0.99,12.6
1.56,18.48
0.78,12.6
2.32,22.75
0.37,10.08
1.18,13.3
1.99,19.32
1.53,13.6
3.83,28.56
1.7,18.45
0.5,10.9
6.37,34.3
1.01,12.6
3.7,29.4
3.84,28.7
1.0,13.1
3.86,25.2
0.74,14.88
0.7,11.75
4.67,37.8
1.56,15.96
3.22,26.04
1.68,15.3
1.7,15.95
1.8,17.65
1.9,15.4
4.3,31.9
0.8,11.75
9.18,57.89
17.24,80.94
1.5,16.2
2.1,19.32
2.08,18.37
0.53,11.9
22.0,103.34
1.16,11.9
0.27,10.08
2.37,19.5
1.56,16.0
19.3,136.94
4.36,23.1
0.9,13.6
2.19,19.1
1.33,13.6
1.14,11.9
0.7,9.8
0.9,15.7
0.75,11.76
1.54,12.6
2.83,23.52
1.76,14.0
0.76,12.6
3.55,26.04
1.41,20.16
0.41,10.92
1.24,14.3
3.65,19.55
0.98,15.12
2.5,16.1
0.6,10.1
0.5,9.1
0.4,9.8
1.14,15.12
1.53,18.2
0.89,10.5
1.75,18.48
2.97,24.36
3.79,28.56
3.64,24.5
4.38,29.6
2.16,15.0
1.15,13.1
1.08,15.12
1.8,17.4
2.57,21.2
1.68,15.4
18.53,102.92
1.84,13.6
1.3,19.3
10.59,58.74
1.8,20.0
4.53,29.6
9.83,69.84
2.4,19.3
0.9,12.6
0.45,10.08
3.49,25.2
4.58,28.0
2.3,20.79
2.97,24.36
2.26,16.8
1.2,15.96
17.82,99.23
0.4,10.9
3.2,24.35
7.05,43.74
8.8,39.15
2.74,18.82
0.46,12.6
1.6,16.1
1.37,14.7
2.95,24.36
1.4,15.7
9.7,67.84
18.0,85.27
1.47,15.3
4.97,31.0
0.6,10.46
1.22,13.3
0.91,14.28
0.53,12.25
0.92,14.0
2.79,26.04
3.86,26.04
7.6,61.49
3.42,26.88
1.15,11.2
1.5,16.9
16.4,78.09
2.41,21.0
0.65,11.76
0.98,13.44
1.29,9.4
8.7,60.49
2.52,24.36
0.74,12.6
1.31,15.12
1.69,18.37
1.39,14.28
3.1,6.25
17.5,88.8
2.9,23.5
11.45,63.39
1.59,16.62
1.7,16.1
4.16,30.62
1.5,14.7
3.2,26.0
4.94,33.6
2.08,20.13
0.67,9.8
17.91,116.75
1.21,12.2
10.78,63.55
3.0,22.0
1.0,12.77
0.99,12.6
2.05,15.4
19.1,80.94
1.7,17.6
1.1,14.3
0.4,8.4
11.4,63.9
1.1,12.6
1.3,14.3
1.2,12.2
17.92,104.9
18.33,102.92
1.42,15.5
16.2,83.2
15.0,96.07
3.24,27.12
0.77,15.12
1.0,12.6
1.58,17.64
1.01,14.28
2.77,24.36
1.16,14.6
15.6,79.0
2.63,20.3
0.41,10.92
17.6,131.3
0.75,13.65
2.19,22.75
7.3,43.75
1.1,13.9
4.01,32.37
0.68,9.8
1.26,15.96
18.57,97.13
29.69,163.76
1.4,18.48
0.95,14.28
1.29,13.3
1.14,15.12
1.33,14.28
1.0,16.6
0.7,9.8
2.1,24.35
2.27,21.0
7.57,42.87
0.8,13.4
1.3,12.6
18.65,80.19
4.37,40.9
0.65,9.8
2.1,18.48
2.3,19.32
3.4,24.36
11.77,69.72
1.67,18.48
5.56,31.92
0.65,9.1
13.56,75.54
4.98,32.76
1.62,14.7
1.24,13.3
0.67,11.38
2.2,20.16
6.65,37.9
1.2,13.44
1.1,13.65
0.47,9.4
18.62,99.23
0.8,11.9
2.5,20.6
1.81,19.5
1.4,13.3
2.41,17.5
0.56,12.6
1.94,21.84
0.46,10.8
2.41,21.84
1.66,17.64
0.85,16.7
1.6,14.7
1.1,14.6
0.86,12.6
0.61,12.74
9.0,55.39
1.12,15.96
14.01,108.78
2.71,18.2
1.18,13.3
4.38,28.9
3.82,35.0
11.22,58.84
0.3,8.4
1.2,15.1
1.7,15.95
11.06,76.07
5.47,33.84
0.9,11.5
2.2,18.52
1.1,11.9
12.58,71.81
1.48,17.29
1.5,15.95
2.3,21.84
4.23,28.56
2.04,20.16
5.22,28.7
1.31,15.1
2.26,21.88
2.14,15.4
0.76,11.5
8.73,60.6
4.26,29.4
0.46,11.76
3.6,21.7
1.4,16.8
3.1,26.85
9.38,54.29
0.8,12.6
1.81,18.48
1.38,15.12
0.95,14.28
2.1,17.5
16.0,70.7
4.72,27.3
18.38,92.69
0.91,10.87
5.23,38.5
2.5,22.65
0.91,12.6
0.89,15.75
1.6,20.9
0.93,14.28
0.57,9.8
2.55,19.6
1.7,16.46
5.48,28.7
2.0,17.6
1.1,12.6
1.8,16.1
2.2,18.1
1.9,17.5
1.4,15.4
2.3,20.2
0.7,10.92
0.8,14.25
8.58,59.19
8.2,49.15
4.35,29.4
9.5,53.94
2.05,19.32
2.15,16.9
2.0,16.8
1.26,19.7
15.98,97.13
0.9,12.08
2.88,21.0
1.87,14.0
1.5,13.3
1.9,16.17
1.7,14.7
0.6,11.1
3.5,28.56
10.52,58.86
0.88,12.6
12.33,69.94
17.87,80.94
0.8,13.9
2.3,18.0
1.05,14.28
1.04,12.2
0.17,10.08
17.47,98.88
2.0,17.65
16.29,99.23
3.59,23.1
1.16,12.6
0.54,9.1
3.8,20.2
18.28,87.69
3.7,21.7
3.8,26.2
3.2,21.7
5.99,32.2
1.7,16.1
2.8,22.0
1.4,20.15
4.5,35.0
1.24,14.28
2.97,20.3
1.39,16.8
1.29,15.12
0.77,9.8
1.18,17.64
11.79,64.04
10.3,57.44
9.55,63.89
17.35,90.96
0.6,10.1
0.46,12.6
0.52,11.76
1.19,13.3
1.21,15.0
1.3,16.6
0.7,11.2
1.0,12.6
4.3,27.6
1.26,17.5
0.84,12.6
0.42,10.08
0.72,14.56
4.51,31.5
1.26,16.63
0.77,13.44
3.29,21.7
0.64,11.76
2.2,19.6
0.7,10.8
1.06,10.5
0.64,13.12
1.1,13.1
1.84,20.16
0.97,13.3
0.34,11.1
0.92,14.28
2.34,21.84
2.15,19.32
3.77,30.24
6.22,29.4
0.73,11.9
6.84,38.6
1.87,19.32
1.05,13.0
1.8,16.9
5.1,34.4
0.66,11.76
2.24,22.68
7.63,35.0
2.8,21.0
1.2,13.3
1.32,15.12
6.05,40.32
9.44,66.48
2.7,21.0
2.31,18.1
5.3,40.24
3.4,28.55
2.61,16.1
32.98,177.34
4.4,31.6
2.2,13.95
7.97,42.43
1.74,17.64
3.43,25.1
0.71,13.44
1.74,14.0
1.05,15.67
1.68,16.8
2.96,25.2
5.62,28.7
1.2,14.6
8.37,55.79
2.01,16.1
0.13,8.4
3.17,24.36
0.7,14.25
1.4,15.4
2.5,18.8
2.82,20.2
1.33,13.6
0.96,9.4
1.48,15.96
2.5,18.2
2.5,20.3
1.3,16.8
0.4,8.4
2.4,22.68
1.7,17.6
0.2,9.66
0.4,11.35
3.06,27.12
0.91,11.2
1.48,15.3
1.9,19.32
10.8,74.34
2.03,16.8
0.57,12.6
1.14,13.44
1.68,17.64
4.18,26.0
0.8,11.2
4.2,31.08
9.83,60.5
1.31,15.96
2.22,17.64
3.18,26.25
1.27,15.96
1.23,15.96
2.45,22.4
0.88,11.2
0.4,12.1
3.13,21.0
1.3,16.63
0.6,14.55
1.7,15.4
1.9,17.1
19.3,82.69
1.23,18.37
2.63,22.1
2.74,21.84
1.3,13.6
3.4,25.35
1.3,14.1
0.8,12.6
28.5,90.69
2.8,18.2
1.4,15.45
2.8,20.0
19.0,95.88
0.97,12.6
1.06,13.9
8.94,50.97
4.07,28.56
1.7,16.3
1.7,18.48
0.76,10.5
12.8,92.55
0.9,14.0
2.98,26.88
1.44,16.7
2.15,18.1
2.83,18.9
2.96,24.2
0.66,13.65
19.87,99.23
0.6,9.8
1.0,12.6
7.5,42.5
10.39,57.67
1.44,16.8
1.12,15.96
1.44,15.4
1.6,19.32
2.53,20.3
2.6,21.0
0.8,12.6
0.4,8.4
0.3,9.2
1.5,16.8
2.57,26.8
4.22,28.56
17.01,94.25
0.43,6.9
0.6,12.1
1.0,11.2
3.41,27.43
2.01,21.9
3.37,24.36
1.54,17.64
4.67,29.8
1.6,14.7
1.4,15.3
0.67,14.28
1.55,15.12
2.2,21.8
1.5,16.8
1.16,15.12
1.95,14.63
2.08,18.48
5.56,25.85
1.7,15.4
1.81,17.9
5.09,25.33
8.27,59.28
1.57,14.7
1.96,18.48
6.94,40.0
1.65,18.48
8.59,55.92
0.8,11.76
0.44,10.92
2.47,19.6
0.99,13.12
0.89,12.6
0.94,12.0
1.33,15.96
1.76,23.52
0.83,12.6
1.66,17.64
2.37,19.0
1.31,15.96
0.28,7.7
1.4,15.95
3.33,25.2
0.69,11.27
1.11,14.28
2.0,17.6
2.5,18.9
2.8,21.3
0.52,9.1
1.45,15.96
0.42,6.6
2.92,15.0
1.3,16.8
2.9,24.35
9.8,65.64
2.77,17.5
5.38,28.7
1.7,18.48
1.91,14.7
2.07,22.68
2.65,23.52
1.0,11.76
1.29,12.6
1.44,14.0
1.03,14.28
1.58,18.48
3.68,25.9
1.79,19.25
2.67,17.5
1.31,15.1
0.81,12.6
1.44,12.6
1.75,15.12
0.75,8.0
0.46,10.92
1.32,14.3
3.28,25.2
8.02,60.11
0.89,13.44
2.4,18.9
2.1,20.16
3.59,26.88
1.33,12.6
1.63,16.7
1.48,16.8
1.52,15.7
5.44,32.76
0.81,14.28
3.32,28.98
2.58,20.93
0.43,9.1
0.84,11.76
1.85,17.64
19.1,95.88
0.63,10.1
1.71,15.96
0.54,10.92
6.44,34.3
19.22,74.0
5.08,26.6
11.0,70.59
4.27,29.4
0.69,11.76
3.6,25.2
6.0,44.25
0.89,14.56
20.0,91.99
4.63,31.92
1.07,14.04
1.9,16.1
1.3,17.3
3.36,29.55
2.56,20.16
2.54,22.68
11.7,77.74
8.05,50.79
18.07,104.4
4.86,33.6
9.3,62.09
2.3,21.0
3.1,23.5
0.9,12.5
0.7,13.45
0.8,13.15
1.56,12.6
2.41,22.75
15.7,83.9
1.88,18.2
0.63,10.5
0.9,11.76
4.65,28.7
3.16,26.88
11.52,81.04
8.82,67.32
5.95,32.95
11.79,65.69
2.3,19.3
4.7,29.2
9.43,64.73
4.77,26.5
1.53,16.63
1.8,16.8
2.51,21.6
1.16,15.12
0.68,12.25
0.9,14.0
1.49,14.0
1.69,20.13
5.3,28.7
4.09,26.65
5.6,28.0
0.84,12.6
0.92,11.9
1.1,15.47
2.45,21.84
1.76,16.8
8.91,65.99
1.34,15.12
1.4,16.8
1.96,16.1
17.11,97.69
14.01,67.14
2.5,21.85
1.2,13.4
4.0,31.08
1.71,19.25
2.4,26.35
10.2,69.74
10.08,47.0
2.15,17.64
3.08,23.52
22.43,106.25
3.39,22.4
0.97,16.38
3.66,30.62
2.5,24.35
0.76,11.5
1.16,15.75
2.5,25.38
0.99,13.44
0.86,11.2
22.7,99.19
5.62,40.3
4.27,25.2
17.46,107.05
19.09,89.47
0.9,14.85
12.29,83.3
8.0,46.0
1.2,14.9
0.4,11.8
0.9,9.8
5.74,25.85
17.53,99.05
1.63,13.3
0.58,9.8
2.2,15.4
4.08,25.76
1.84,16.63
1.61,16.8
11.12,79.43
1.11,15.12
18.4,85.6
1.48,16.63
3.94,29.4
1.1,13.44
0.69,9.1
10.1,70.05
0.9,11.55
1.3,18.2
0.8,15.1
2.0,16.8
0.4,9.6
7.0,44.52
4.05,23.8
1.31,18.2
2.25,17.5
21.14,82.69
1.85,21.0
1.7,18.45
10.92,73.2
0.89,17.64
1.32,23.52
19.7,73.8
20.2,90.94
11.6,68.93
0.87,15.75
4.13,33.6
1.72,15.4
11.46,66.29
1.64,14.0
2.63,17.5
1.47,17.64
5.87,35.28
1.2,17.64
17.2,74.0
3.64,26.04
8.43,48.43
1.35,16.8
0.95,13.44
0.01,101.33
1.14,18.2
9.83,58.15
1.38,13.3
5.87,41.16
0.29,10.08
0.3,8.4
0.66,11.2
0.98,13.3
1.3,16.4
2.98,18.2
1.92,20.93
0.71,11.76
0.55,11.76
16.22,97.13
2.53,21.84
1.52,15.96
11.21,66.55
1.78,16.8
1.34,13.3
1.29,15.96
0.89,12.2
14.09,58.1
1.65,20.3
3.87,28.56
13.11,74.0
8.21,51.09
0.83,13.44
2.87,24.5
2.4,20.15
11.0,75.23
0.99,14.6
0.8,12.6
4.9,22.0
1.22,15.12
5.28,29.4
16.0,80.75
0.91,13.44
3.06,24.36
2.65,21.84
9.32,41.95
0.95,10.49
0.7,12.6
0.9,13.95
6.7,38.9
0.8,10.5
1.2,15.1
1.32,17.64
6.92,35.7
7.39,37.85
5.9,43.68
1.77,18.48
1.67,14.0
6.2,32.9
10.82,63.74
0.78,16.1
2.21,17.5
19.84,75.55
6.5,43.65
0.7,12.5
0.28,9.24
1.2,16.9
1.3,14.7
2.8,19.6
18.06,120.55
3.69,26.1
22.4,80.94
9.1,48.25
0.6,10.9
15.89,80.94
2.42,15.4
1.61,15.7
2.82,24.36
3.81,25.9
5.02,33.6
3.29,26.04
8.1,48.94
0.79,15.4
3.2,29.75
1.4,16.8
1.6,15.96
0.5,10.05
17.6,97.09
0.72,12.6
12.37,69.07
12.09,48.25
2.52,22.75
3.72,24.7
18.55,82.69
4.6,31.1
19.22,93.69
7.2,38.6
1.22,12.6
1.61,17.64
1.69,17.71
0.87,15.12
2.54,23.52
2.25,20.3
6.75,42.0
0.85,13.44
2.05,21.0
2.24,21.0
1.1,14.55
1.7,19.3
1.6,15.6
2.4,23.52
1.15,14.28
1.3,12.6
0.82,11.2
1.26,12.9
18.1,134.35
3.88,25.6
1.95,18.2
5.28,30.8
19.14,128.94
8.7,51.49
4.9,30.6
1.81,21.84
1.44,15.96
5.74,34.65
1.09,11.2
1.47,13.8
2.25,20.16
4.5,29.4
12.14,56.05
3.09,24.36
1.98,22.68
1.13,11.9
18.9,92.5
0.87,12.6
1.28,15.96
1.37,12.6
0.33,10.08
1.51,11.9
4.3,30.24
1.5,15.96
0.6,11.76
0.6,11.1
1.2,11.2
1.7,17.5
6.9,43.65
2.6,20.15
3.1,22.65
2.26,20.79
2.89,21.0
1.17,15.12
0.88,12.5
17.19,97.13
2.0,18.45
11.04,62.22
4.99,30.4
4.35,25.2
3.67,29.4
1.03,13.44
3.16,32.76
3.4,22.4
0.81,13.12
1.34,18.2
18.79,92.69
0.11,9.5
16.89,74.0
2.27,21.84
1.25,18.37
0.97,14.28
4.43,30.24
3.05,21.7
2.9,22.68
1.35,17.64
4.38,31.0
4.86,27.3
6.17,37.9
12.36,69.42
1.5,18.45
1.3,17.6
2.3,17.5
1.24,15.96
2.08,18.48
15.0,70.5
1.22,17.64
3.15,25.3
5.21,28.7
1.98,15.7
0.73,13.5
6.19,39.2
1.6,16.8
5.75,35.28
3.66,26.04
17.73,82.69
10.02,72.49
1.48,17.5
1.45,15.96
16.75,97.13
2.38,24.36
0.46,10.92
0.33,9.4
1.94,21.84
1.31,13.3
0.44,11.83
4.36,33.6
0.82,14.49
12.3,84.64
0.9,14.25
1.0,15.1
2.9,19.6
2.08,18.8
1.22,14.28
7.72,42.0
4.6,30.65
1.79,14.3
3.95,24.5
1.6,16.0
5.98,29.4
16.71,98.88
4.47,29.75
3.63,27.72
3.8,26.05
1.8,16.8
2.81,22.54
1.24,16.62
5.35,41.16
0.79,11.2
9.73,67.25
0.92,11.9
9.63,47.6
7.33,39.3
2.25,27.72
11.61,63.96
2.81,22.68
0.5,11.2
4.13,28.0
0.71,11.9
5.06,30.0
0.55,10.92
2.89,24.36
0.7,12.6
1.97,19.3
1.84,15.4
1.2,11.9
0.9,9.8
0.59,6.6
2.11,19.4
3.19,23.1
1.48,15.96
1.4,17.64
1.55,17.7
1.6,17.5
3.2,24.5
2.68,24.36
2.6,21.84
7.89,36.4
1.69,19.32
0.88,13.09
12.27,54.65
1.44,18.2
2.24,19.32
2.01,19.32
2.1,17.64
0.53,11.76
1.18,14.28
4.7,35.85
17.66,98.88
1.74,16.1
0.96,14.56
2.87,25.2
1.82,18.38
0.99,12.5
2.68,20.16
1.44,11.9
0.8,11.2
5.63,32.1
11.99,63.39
1.76,14.7
3.77,26.04
10.13,57.79
2.77,22.3
1.2,13.45
9.3,57.0
0.85,11.55
1.98,21.0
26.39,120.55
2.48,20.9
4.05,27.37
1.51,14.0
17.8,92.69
2.36,20.6
0.8,9.8
0.4,5.9
5.8,35.8
0.01,7.0
18.18,88.8
6.6,32.0
8.83,63.47
0.82,11.76
3.56,27.32
3.16,21.75
2.11,26.1
4.9,27.9
0.74,9.8
1.34,17.5
0.56,12.25
0.7,11.9
0.52,10.08
2.6,22.3
0.97,11.2
1.12,13.44
1.7,19.32
15.1,120.6
0.78,11.2
4.0,73.75
2.0,19.3
1.4,13.3
0.5,9.4
0.8,13.4
1.26,15.96
0.78,12.6
1.72,15.96
0.47,10.08
3.03,23.52
7.23,41.16
3.22,28.56
16.82,154.5
2.0,16.8
1.53,16.1
0.99,11.9
6.0,34.4
4.1,24.5
0.42,9.8
16.56,82.69
2.77,24.36
0.99,12.63
1.26,15.12
17.94,97.13
16.7,80.94
2.59,19.6
2.19,22.68
2.45,20.9
1.36,16.8
3.22,31.85
0.59,12.74
1.3,14.0
1.8,18.45
16.9,98.88
1.5,17.64
9.47,59.72
5.8,36.75
10.71,58.86
5.57,30.1
2.6,22.65
2.14,20.16
1.06,13.44
0.98,13.9
4.4,27.72
1.36,14.0
0.44,10.08
2.76,21.84
6.0,36.1
3.0,19.6
9.56,53.75
1.17,14.63
1.52,14.28
0.8,16.2
1.43,14.0
2.5,16.1
3.62,23.1
1.6,14.7
1.2,14.3
1.6,12.6
1.76,15.96
1.18,15.96
0.84,14.28
2.53,21.84
2.31,22.68
1.32,17.5
1.04,12.88
1.76,17.64
1.04,14.88
1.1,14.25
0.8,11.75
0.47,10.92
0.7,10.1
5.35,39.48
2.39,18.48
1.01,14.88
2.66,24.36
10.77,73.2
2.4,16.8
2.2,20.15
1.58,18.48
18.61,105.22
1.3,14.0
1.26,18.48
4.11,27.72
5.1,33.6
1.52,16.4
14.42,70.56
0.96,14.28
1.55,13.3
1.44,14.0
0.81,13.12
0.73,9.8
10.33,73.2
3.4,31.27
1.17,12.6
1.45,16.8
6.26,31.5
1.65,16.1
2.96,18.9
2.3,21.84
2.9,25.3
4.2,25.5
2.7,18.9
0.63,11.27
1.05,10.5
12.66,71.52
3.29,17.1
0.87,9.4
1.04,14.6
1.3,15.12
0.81,13.2
0.88,12.6
2.12,17.5
7.96,47.75
10.5,74.39
4.14,30.24
1.96,19.32
4.02,25.2
5.0,27.3
5.03,29.4
0.6,13.12
1.35,12.6
0.86,10.5
1.55,23.52
21.1,80.94
6.87,34.3
5.19,28.0
0.96,15.75
1.29,14.0
14.76,76.15
1.56,18.48
3.41,24.15
0.85,16.38
1.0,18.0
17.7,82.69
3.49,37.55
1.99,20.16
1.18,15.12
3.34,29.4
3.8,26.85
1.1,14.25
0.85,12.0
1.94,17.64
1.96,16.9
1.19,13.6
19.54,89.39
11.46,79.22
0.8,11.9
1.4,13.3
1.6,16.1
4.7,30.7
1.03,11.9
3.45,21.7
2.46,19.6
1.32,15.12
1.29,15.52
1.03,11.2
2.04,18.48
0.91,11.2
19.3,97.14
2.74,19.32
0.38,9.24
9.37,70.19
1.25,15.12
1.53,14.6
1.85,14.7
0.72,12.6
11.51,66.55
0.76,15.75
3.28,24.36
0.98,14.28
10.21,67.25
0.65,9.8
0.91,10.5
11.77,63.04
1.9,15.4
1.9,16.1
0.93,12.2
0.93,11.5
1.38,15.96
1.01,12.6
2.13,18.5
1.45,14.28
10.54,73.97
17.48,101.17
0.52,10.08
1.1,11.9
2.71,19.9
0.34,8.4
1.52,17.64
1.51,17.64
2.02,22.68
5.94,30.8
0.7,13.0
2.1,18.2
6.1,39.4
0.5,10.05
16.4,80.94
11.17,62.35
17.9,67.5
2.44,21.84
0.48,12.8
2.71,23.52
0.5,10.9
1.64,10.8
18.52,80.94
1.1,13.6
2.8,20.3
17.54,81.42
0.99,14.28
0.79,10.5
9.94,56.74
4.5,24.5
0.86,11.9
1.09,17.6
1.09,11.9
4.25,31.92
1.46,18.48
2.19,18.2
1.96,21.0
4.89,22.7
1.17,12.6
3.78,30.24
1.27,17.64
2.4,17.5
1.26,17.64
5.56,60.55
5.94,30.1
0.64,15.47
1.96,19.32
3.34,31.85
2.71,21.0
3.92,27.9
0.67,10.5
8.41,62.28
5.16,31.92
3.04,26.88
1.36,16.8
0.85,13.12
1.16,16.63
1.36,15.96
2.09,20.16
2.0,16.4
1.33,13.44
3.54,26.04
0.88,11.9
8.9,46.95
0.92,12.6
0.86,10.5
2.36,22.68
2.87,22.0
1.7,18.5
1.0,12.6
1.4,19.3
11.81,61.87
19.6,109.6
1.1,11.9
8.96,42.65
1.37,16.8
0.6,8.35
7.73,56.8
2.09,20.16
18.16,90.55
1.62,18.48
2.14,16.8
10.2,73.54
1.97,15.4
2.61,16.11
16.89,98.88
2.54,19.0
2.12,19.32
8.0,58.39
0.71,12.6
8.73,52.89
5.35,28.08
6.41,35.71
1.76,20.65
1.23,15.12
3.46,26.5
3.77,28.56
0.55,10.92
3.01,24.36
0.67,10.5
0.47,10.92
0.87,12.25
1.8,21.85
2.23,21.84
1.64,14.63
7.49,54.24
1.47,15.96
3.2,66.25
3.3,29.1
0.9,12.6
3.18,26.04
3.13,20.3
3.1,22.1
1.36,15.96
1.72,17.64
1.35,13.44
6.76,34.3
4.7,31.39
1.68,16.1
0.93,10.5
0.8,10.5
3.1,19.6
3.8,18.5
0.7,13.7
12.55,68.04
2.0,17.65
1.4,14.3
1.3,15.12
1.8,14.0
2.7,16.1
0.9,13.4
1.0,13.4
1.7,15.4
1.1,13.4
2.43,21.0
1.38,13.3
2.3,19.6
0.97,11.9
2.32,18.52
1.33,16.8
11.04,69.29
1.32,12.2
1.46,17.5
8.83,59.62
13.1,83.64
1.15,11.9
4.66,37.8
17.3,80.94
2.79,21.84
0.73,11.76
2.33,21.0
1.09,10.5
0.86,12.6
1.39,12.6
5.4,30.1
0.71,11.76
5.19,32.34
0.4,10.08
3.4,21.6
4.09,23.1
1.0,16.6
0.9,15.95
1.86,18.48
1.95,21.0
6.4,32.2
4.67,31.92
0.4,10.5
3.22,21.0
1.06,12.6
2.0,20.15
1.7,16.7
1.1,17.6
0.92,13.44
3.14,27.72
1.04,10.5
0.99,14.0
6.6,42.0
0.8,11.76
1.94,17.64
17.82,88.8
2.19,20.16
7.41,33.55
1.23,12.6
0.91,13.44
6.0,37.8
1.25,16.2
0.42,10.92
1.64,18.48
2.98,26.1
1.89,18.38
0.91,14.0
1.2,12.6
2.71,18.2
8.83,43.45
2.19,16.1
2.35,21.0
0.53,11.76
3.07,24.0
1.52,14.0
7.29,44.55
18.54,82.75
2.13,18.5
3.22,18.85
2.69,21.0
4.01,50.45
